estado,id_tienda,ciudad,codigo_postal,direccion,latitud,longitud,no_tienda,nombre
ROO,525,Playa del Carmen,77710,"Quinta Av. Norte entre calle 28 nte y 30, 5B-6A-6B Fracc. 2 Lte.119",20.62,-87.08,31991-114973,Playa Tides
ROO,526,Playa del Carmen,77710,"5a. Avenida  entre calle 12 y 14, Solidaridad",20.37,-87.42,29537-245930,5a Av Playa del Carmen
ROO,527,Quintana Roo,,"Km. 39+300, Carretera Cancun-Chetumal, Rancho La Esperanza",21.03,-86.85,19146-199025,Carretera Cancun-Playa
ROO,528,Tulum,77760,"Av. Ruinas de Tulun No. F-3, Col. Tulum Ruinas",20.22,-87.44,24200-236570,Tulum
SIN,529,Culiacan,80100,"Blvd. Culiacan No. 450, Col. Recursos Hidraulicos",24.8,-107.41,1803-154027,Culiacan Cinepolis
SIN,530,Culiacan,80130,Carretera Navolato km 4.5,24.8,-107.39,26861-245074,Aeropuerto Culiacan
SIN,531,Culiacan,80014,"Blvd Pedro Infante, #3201 Fracc. Floresta Tres Rios",24.79,-107.44,26444-239828,Plaza Palmares
SIN,532,Culiacan,,"Blvd. Jose Limon, Rep de Brasil",24.76,-107.42,23966-234585,Lowes Culiacan
SIN,533,Culiacan,80027,Boulevard Jose Diego Valadez Rios & C. P,24.82,-107.4,32610-132861,Tres Rios
SIN,534,Culiacan,,Plaza Forum,24.82,-107.4,32609-132866,Forum Culiacan
SIN,535,Culiacan,80220,"Av. Alvaro Obregon esq. Rio San Lorenzo, Av. Gral. Alvaro Obregon #1140 Sur",24.79,-107.39,23224-228831,La Lomita DT
SIN,536,Los Mochis,81200,Blvd Centenario esq Blvd Antonio Rosales,25.78,-109,2096-142846,Boulevard Centenario
SIN,537,Mazatlan,82110,Av. Lomas de Mazatlan & Av. Camaron Saba,23.24,-106.45,32749-139195,Mazatlan Lomas
SIN,538,Mazatlan,82103,"Av. De la Marina esq. Av Delfin dentro, del desarrollo Marina Mazatlan Mza. 24",23.24,-106.45,20447-205547,Galerias Mazatlan
SIN,539,Mazatlan,82123,"Av. Reforma S/N, Fracc. Alameda",23.24,-106.44,49223-267552,Gran Plaza Mazatlan
SLP,540,San Luis Potosi,78210,"Montes Blancos No. 180 Local 3,4 & 5",22.14,-101.02,32422-119586,Lomas
SLP,541,San Luis Potosi,72800,1996 Venustiano Carranza Avenue,22.15,-101.01,31980-119620,Plaza Divina
SLP,542,San Luis Potosi,78215,"Blvd. Antonio Rocha Cordero No. 700, esq. Av. Sierra Vista Poniente",22.13,-101.03,12471-154184,Plaza Carso SLP
SLP,543,San Luis Potosi,78216,609 Cordillera del Himalaya,22.14,-101.03,32360-131224,Himalaya
SON,544,Ciudad Obregon,85000,"Av Miguel Aleman 15 esSufragio Efectivo, Col. Real del Sol",27.51,-109.93,17003-146605,Cd. Obregon
SON,545,Hermosillo,,Morelos Boulevard,29.12,-110.95,32793-132858,City Pitic
SON,546,Hermosillo,,Rodriguez Boulevard,29.1,-110.95,32695-132860,Rodriguez
SON,547,Hermosillo,83144,"Blvd. Morelos esq. Av. Trece, Blvd. Jose Maria Morelos # 307",29.12,-110.95,23813-233185,Blvd. Morelos
SON,548,Hermosillo,83224,"Blvd. Luis Donaldo Colosio #829, Col. La Rioja",29.08,-111.01,28017-249491,Puerta Oeste
SON,549,Hermosillo,83220,"Carretera a Bahia de Quino km 9.5, Local 21D y 23A/Col La Manga",29.09,-111.05,22035-217084,Aeropuerto Hermosillo
SON,550,Nogales,84066,"Blvd. El Greco #45 Col. El Greco, Nogales Mall",31.29,-110.94,27203-246917,Nogales Mall Sonora
TAB,551,Villahermosa,86035,"Av Prolongacion Paseo Tabasco, Esq Circuito Municipal",18,-92.94,1362-140065,Paseo Tabasco
TAB,552,Villahermosa,86037,"Periferico Calos Pellicer Camara, Local 101",18.01,-92.95,22782-224833,Plaza Mallorca
TAB,553,Villahermosa,86103,"Periférico Pellicer esquina Universidad, Sendero Villahermosa",18.02,-92.91,29741-254831,Sendero Villahermosa
TAB,554,Villahermosa,86035,"Paseo Tabasco No.1405, Col. Desarrollo Urbano",18,-92.95,14970-156624,Galerias Tabasco
TAB,555,Villahermosa,86190,"Periferico Carlos Pellicer Camara 129, esq. Av. Cesar Sandino, Col. 1 de mayo",17.98,-92.97,16194-161526,Altabrisa Tabasco
TAM,556,Ciudad Victoria,87027,Av.Tamaulipas Esq. Lopez Mateos No.890,23.75,-99.15,22399-220665,Ciudad Victoria
TAM,557,Reynosa,88710,"Blvd Hidalgo y Fuente de Diana KM101 s/n, Col. Fraccinamiento Las Fuentes",26.06,-98.32,21186-209759,Reynosa
TAM,558,Tampico,89330,AV. HIDALGO S/N ENTRE HIDALGO Y LOMA ENC,22.27,-97.87,1895-139066,Hidago Tampico
TAM,559,Tampico,89130,"Av. Ejercito Mexicano No. 706, Col. Primavera",22.25,-97.86,49221-267548,Fashion Mall Tampico
TAM,560,Tampico,89107,"Av. Universidad #900, Municipio de Tampico",22.27,-97.86,25659-236934,Tampico Universidad
VER,561,Boca del rio,94293,A.RUIZ CORTINEZ 4330  BOCA DEL RIO,19.09,-96.12,25644-241749,ANDAMAR
VER,562,Coatzacoalcos,96550,Nuño de Balboa,18.14,-94.47,47081-256708,Coatzacoalcos DT
VER,563,Coatzacoalcos,96536,"Av. Universidad km. 8, Col. Predio Santa Rosa",18.14,-94.49,2095-142848,Forum Coatzacoalcos
VER,564,Cordoba,94500,"Av. 3, Calle 1 No. 104",18.89,-96.93,29671-254825,Cordoba Centro
